id,date,TotalCount,nCluster
9.22524E17,212.0,19387.0,8.0
9.26615E17,200.0,16765.0,8.0
9.2709302E17,199.0,12050.0,8.0
9.2921198E17,193.0,12023.0,8.0
9.3606703E17,174.0,18201.0,8.0
9.3623697E17,174.0,23794.0,8.0
9.4100802E17,161.0,16786.0,8.0
9.4130998E17,160.0,16194.0,8.0
9.4236503E17,157.0,12983.0,8.0
9.4735502E17,143.0,23271.0,8.0
9.4858201E17,140.0,19558.0,8.0
9.5109302E17,133.0,13061.0,8.0
1.5501305E7,3594.0,480479.0,2.0
2.2954354E7,3366.0,895233.0,2.0
2.5877016E7,3349.0,416980.0,2.0
3.3410754E7,3320.0,469645.0,2.0
2.82098752E8,2596.0,574742.0,2.0
3.16578272E8,2536.0,481994.0,2.0
3.64528768E8,2458.0,438671.0,2.0
4.9560224E8,2286.0,405371.0,2.0
1.46600947E9,1820.0,767115.0,2.0
1.67431539E9,1741.0,534430.0,2.0
3.32138624E9,1007.0,466430.0,2.0
1.1447982E7,3804.0,97288.0,5.0
1.4111373E7,3726.0,101094.0,5.0
1.6408881E7,3530.0,127999.0,5.0
1.7888708E7,3456.0,129339.0,5.0
1.808342E7,3449.0,100176.0,5.0
1.8194928E7,3444.0,87769.0,5.0
1.8959644E7,3416.0,116514.0,5.0
2.0691578E7,3387.0,115304.0,5.0
2.0729668E7,3386.0,103129.0,5.0
2.2635994E7,3368.0,91630.0,5.0
2.2873032E7,3366.0,101717.0,5.0
2.2929686E7,3366.0,94028.0,5.0
2.3345912E7,3363.0,84942.0,5.0
2.4882986E7,3354.0,94811.0,5.0
2.514996E7,3353.0,90026.0,5.0
2.9400172E7,3333.0,88263.0,5.0
3.0265664E7,3330.0,119366.0,5.0
3.0349866E7,3329.0,89708.0,5.0
3.4831912E7,3316.0,97278.0,5.0
3.5599356E7,3313.0,126723.0,5.0
4.5233048E7,3272.0,85911.0,5.0
4.5733308E7,3270.0,119264.0,5.0
6.5951308E7,3203.0,113023.0,5.0
7.0499832E7,3187.0,86982.0,5.0
7.3813224E7,3174.0,93329.0,5.0
7.4181808E7,3173.0,126158.0,5.0
1.14770416E8,3018.0,122940.0,5.0
1.19965416E8,3001.0,94748.0,5.0
1.25218968E8,2984.0,85413.0,5.0
1.30636968E8,2968.0,93904.0,5.0
1.61121504E8,2884.0,88059.0,5.0
1.6434664E8,2876.0,89606.0,5.0
1.64758352E8,2875.0,92178.0,5.0
2.00631264E8,2783.0,87415.0,5.0
2.0587768E8,2771.0,98736.0,5.0
2.211216E8,2732.0,108695.0,5.0
2.42921616E8,2675.0,104082.0,5.0
2.444176E8,2671.0,85723.0,5.0
2.46498736E8,2667.0,109254.0,5.0
2.6486112E8,2629.0,86983.0,5.0
2.6921136E8,2621.0,84197.0,5.0
2.69793952E8,2620.0,124052.0,5.0
3.00501856E8,2563.0,85005.0,5.0
3.754344E8,2439.0,91273.0,5.0
4.14794752E8,2379.0,102212.0,5.0
4.2891728E8,2361.0,114101.0,5.0
4.79183136E8,2304.0,125543.0,5.0
5.00589728E8,2281.0,86608.0,5.0
5.07877792E8,2276.0,114763.0,5.0
5.18896544E8,2267.0,98006.0,5.0
5.26601856E8,2259.0,104502.0,5.0
5.3950701E8,2246.0,91608.0,5.0
5.4074592E8,2245.0,91091.0,5.0
7.1147738E8,2130.0,112736.0,5.0
7.1184838E8,1683.0,103334.0,5.0
7.2747251E8,2122.0,99637.0,5.0
8.3863603E8,2069.0,113968.0,5.0
8.7111603E8,2051.0,117488.0,5.0
9.8531174E8,1998.0,90855.0,5.0
1.03383872E9,1975.0,104152.0,5.0
1.0715159E9,1961.0,95659.0,5.0
1.09957325E9,1951.0,110266.0,5.0
1.30091405E9,1885.0,85152.0,5.0
1.37862592E9,1854.0,102127.0,5.0
2.17161958E9,1658.0,94282.0,5.0
2.19686861E9,1639.0,97749.0,5.0
2.21835162E9,1638.0,94324.0,5.0
2.23791565E9,1626.0,95595.0,5.0
2.34731315E9,1557.0,121331.0,5.0
2.41102464E9,1520.0,93204.0,5.0
2.5178857E9,1461.0,96402.0,5.0
2.56430643E9,1440.0,108234.0,5.0
2.57372954E9,1435.0,118258.0,5.0
2.68827187E9,1395.0,118823.0,5.0
2.76225178E9,1356.0,94754.0,5.0
2.86125363E9,1314.0,95376.0,5.0
2.87712333E9,1306.0,109030.0,5.0
3.14864563E9,1139.0,87731.0,5.0
3.15009869E9,1138.0,103492.0,5.0
3.1882391E9,1129.0,124507.0,5.0
3.23408947E9,1086.0,93664.0,5.0
3.39546061E9,1028.0,95872.0,5.0
3.43611469E9,1004.0,83292.0,5.0
4.8415058E9,843.0,98314.0,5.0
7.0431897E17,814.0,107878.0,5.0
7.0544199E17,811.0,86587.0,5.0
7.0906199E17,801.0,116774.0,5.0
7.1347797E17,789.0,95217.0,5.0
7.1446101E17,786.0,102489.0,5.0
7.1663E17,780.0,86989.0,5.0
7.4073803E17,713.0,99866.0,5.0
7.4613402E17,698.0,84217.0,5.0
7.5754798E17,667.0,90642.0,5.0
7.7951602E17,606.0,108321.0,5.0
7.8489703E17,591.0,102786.0,5.0
7.8493702E17,591.0,92284.0,5.0
7.88112E17,583.0,93570.0,5.0
7.8961297E17,578.0,109451.0,5.0
7.9683903E17,559.0,117169.0,5.0
8.0359299E17,540.0,94066.0,5.0
8.1357902E17,512.0,103248.0,5.0
8.1923203E17,497.0,114418.0,5.0
8.19345E17,496.0,94204.0,5.0
8.2300802E17,486.0,99602.0,5.0
8.2451999E17,482.0,107821.0,5.0
8.3081902E17,465.0,98399.0,5.0
8.3310498E17,458.0,103083.0,5.0
8.4945602E17,413.0,117664.0,5.0
8.7974001E17,330.0,94375.0,5.0
8.8051702E17,328.0,99723.0,5.0
8.9602501E17,285.0,104071.0,5.0
id,date,TotalCount,nCluster
2.08188E7,3385.0,274421.0,3.0
2.149553E7,3378.0,267902.0,3.0
2.5067168E7,3353.0,285569.0,3.0
7.4149816E7,3173.0,211917.0,3.0
1.10459288E8,3033.0,276180.0,3.0
1.22960144E8,2992.0,208058.0,3.0
1.95738912E8,2795.0,216435.0,3.0
5.3848186E8,2248.0,222123.0,3.0
5.6411155E8,2218.0,235900.0,3.0
1.25764506E9,1900.0,307169.0,3.0
1.5988128E9,1772.0,239504.0,3.0
1.60634432E9,1769.0,284711.0,3.0
2.31933926E9,1574.0,234122.0,3.0
2.366304E9,1544.0,210751.0,3.0
2.50289587E9,1491.0,218302.0,3.0
2.76352768E9,1368.0,288295.0,3.0
3.13348838E9,1146.0,293547.0,3.0
3.43061658E9,1008.0,331880.0,3.0
4.18035226E9,922.0,372994.0,3.0
4.4809062E9,898.0,223539.0,3.0
7.4638801E17,698.0,288032.0,3.0
7.6272902E17,653.0,232495.0,3.0
7.7316902E17,624.0,212671.0,3.0
7.9676199E17,559.0,211245.0,3.0
8.5517403E17,398.0,213869.0,3.0
1917731.0,4080.0,2998027.0,1.0
5695632.0,4040.0,6460409.0,1.0
